Date,State,District,Pincode,Demo_age_5_17,Demo_age_17+
01-03-2025,Chhattisgarh,Surguja,497101,104,1470
01-03-2025,Rajasthan,Bharatpur,321303,94,1450
01-03-2025,Uttar Pradesh,Sonbhadra,231225,43,666
01-03-2025,Rajasthan,Nagaur,341001,349,6894
01-03-2025,Andhra Pradesh,East Godavari,533254,11,143
01-03-2025,Bihar,Jamui,811312,92,1215
01-03-2025,Bihar,Katihar,855114,113,1607
01-03-2025,Uttar Pradesh,Bahraich,271824,59,956
01-03-2025,Madhya Pradesh,Seoni,480888,74,1816
01-03-2025,Bihar,Vaishali,844502,96,881
01-03-2025,Madhya Pradesh,Shajapur,465333,39,434
01-03-2025,Gujarat,Surat,395010,690,6222
01-03-2025,Bihar,Muzaffarpur,843128,181,1594
01-03-2025,Tripura,Dhalai,799289,50,561
01-03-2025,Maharashtra,Satara,415523,83,1739
01-03-2025,Uttar Pradesh,Sant Kabir Nagar,272165,142,1709
01-03-2025,Jharkhand,Giridih,815317,93,2275
01-03-2025,Gujarat,Surat,394230,102,1278
01-03-2025,Rajasthan,Nagaur,341508,161,1232
01-03-2025,Karnataka,Bijapur,586115,59,126
01-03-2025,Andhra Pradesh,Guntur,522411,31,325
01-03-2025,Uttar Pradesh,Jaunpur,222109,69,885
01-03-2025,Jharkhand,Dhanbad,828205,70,3841
01-03-2025,Andhra Pradesh,East Godavari,533274,20,199
01-03-2025,Chhattisgarh,Kondagaon,494226,137,1225
01-03-2025,Haryana,Gurgaon,122103,118,887
01-03-2025,Gujarat,Ahmedabad,382481,231,1409
01-03-2025,Uttar Pradesh,Gorakhpur,273008,89,627
01-03-2025,Bihar,Gaya,804404,88,738
01-03-2025,Madhya Pradesh,Dhar,454449,127,1065
01-03-2025,Jharkhand,Ranchi,835214,148,2495
01-03-2025,Telangana,Yadadri.,508116,55,810
01-03-2025,Karnataka,Dharwad,582208,128,398
01-03-2025,Bihar,Madhepura,852114,52,748
01-03-2025,Jammu and Kashmir,Kupwara,193221,95,773
01-03-2025,Tamil Nadu,Tirunelveli,627002,47,470
01-03-2025,Uttarakhand,Udham Singh Nagar,262401,215,1565
01-03-2025,Uttar Pradesh,Sitapur,261131,72,1449
01-03-2025,Maharashtra,Mumbai,400101,36,852
01-03-2025,Uttarakhand,Rudraprayag,246475,55,377
01-03-2025,Jharkhand,Pakur,816104,92,2084
01-03-2025,Tamil Nadu,Salem,636115,27,429
01-03-2025,Uttar Pradesh,Azamgarh,223227,89,778
01-03-2025,West Bengal,Birbhum,731302,40,386
01-03-2025,Maharashtra,Yavatmal,445302,68,579
01-03-2025,Tamil Nadu,Ramanathapuram,623529,14,158
01-03-2025,Telangana,Medchal-malkajgiri,501401,61,303
01-03-2025,Telangana,K.v. Rangareddy,509339,14,40
01-03-2025,Assam,Karbi Anglong,782485,48,453
01-03-2025,Uttar Pradesh,Mainpuri,206303,36,715
01-03-2025,Uttar Pradesh,Ambedkar Nagar,224227,38,370
01-03-2025,West Bengal,Birbhum,731219,95,1074
01-03-2025,Telangana,K.v. Rangareddy,509327,61,354
01-03-2025,Tamil Nadu,Cuddalore,608703,50,550
01-03-2025,Uttar Pradesh,Sonbhadra,231212,34,617
01-03-2025,Karnataka,Chamrajanagar,571117,25,103
01-03-2025,Odisha,Dhenkanal,759017,75,477
01-03-2025,Rajasthan,Jalor,343032,35,1785
01-03-2025,Chhattisgarh,Korba,495446,22,881
01-03-2025,Rajasthan,Jaipur,303904,38,794
01-03-2025,Uttar Pradesh,Banda,210126,64,1297
01-03-2025,Maharashtra,Satara,415206,25,400
01-03-2025,Karnataka,Bidar,585403,154,621
01-03-2025,Chhattisgarh,Sukma,494115,24,370
01-03-2025,Andhra Pradesh,Kurnool,518225,33,468
01-03-2025,Madhya Pradesh,Rewa,486553,104,745
01-03-2025,West Bengal,Kolkata,700033,12,357
01-03-2025,Himachal Pradesh,Mandi,175124,22,122
01-03-2025,Jammu and Kashmir,Kathua,184203,51,580
01-03-2025,Karnataka,Belgaum,591304,297,370
01-03-2025,Andhra Pradesh,Anantapur,515822,10,146
01-03-2025,Tamil Nadu,Kancheepuram,603406,34,585
01-03-2025,Madhya Pradesh,Balaghat,481224,64,543
01-03-2025,Haryana,Rewari,123412,25,111
01-03-2025,Gujarat,Banaskantha,385110,177,553
01-03-2025,Telangana,Nagarkurnool,509385,44,171
01-03-2025,Odisha,Bargarh,768045,25,202
01-03-2025,Bihar,Munger,811214,82,886
01-03-2025,Punjab,Ferozepur,142052,19,275
01-03-2025,Karnataka,Koppal,583282,61,214
01-03-2025,Chhattisgarh,Janjgir-champa,495688,24,1032
01-03-2025,Maharashtra,Satara,412801,19,257
01-03-2025,Tripura,South Tripura,799105,10,424
01-03-2025,Telangana,Sangareddy,502313,36,101
01-03-2025,Manipur,Thoubal,795149,79,426
01-03-2025,Uttarakhand,Almora,263667,11,93
01-03-2025,West Bengal,Paschim Medinipur,721301,93,1195
01-03-2025,Maharashtra,Raigad,410203,18,222
01-03-2025,Kerala,Thiruvananthapuram,695102,17,247
01-03-2025,Karnataka,Raichur,584101,73,612
01-03-2025,Bihar,Muzaffarpur,843123,70,628
01-03-2025,Telangana,Karimnagar,505129,16,127
01-03-2025,Gujarat,Panchmahals,389350,76,709
01-03-2025,Karnataka,Kalaburagi,585103,103,456
01-03-2025,Andhra Pradesh,Visakhapatnam,531133,18,435
01-03-2025,Kerala,Thrissur,680519,22,146
01-03-2025,Uttar Pradesh,Jaunpur,222144,64,558
01-03-2025,Gujarat,Bharuch,392220,18,140
01-03-2025,Assam,Chirang,783393,89,632
01-03-2025,Odisha,Khorda,752020,29,230
01-03-2025,Gujarat,Kachchh,370421,66,427
01-03-2025,Himachal Pradesh,Kullu,175126,14,116
01-03-2025,Kerala,Palakkad,679536,18,114
01-03-2025,Andhra Pradesh,Chittoor,517619,23,265
01-03-2025,Jharkhand,Dhanbad,828129,11,319
01-03-2025,West Bengal,Purba Bardhaman,713144,10,87
01-03-2025,Karnataka,Hassan,573216,38,165
01-03-2025,Uttar Pradesh,Auraiya,206251,14,248
01-03-2025,Andhra Pradesh,Kurnool,518533,36,399
01-03-2025,Himachal Pradesh,Chamba,176310,55,236
01-03-2025,West Bengal,Howrah,711413,16,445
01-03-2025,Karnataka,Vijayanagara,583130,15,83
01-03-2025,Chhattisgarh,Sukma,494111,93,627
01-03-2025,Andhra Pradesh,Guntur,522016,14,174
01-03-2025,Karnataka,Belgaum,591248,85,137
01-03-2025,Gujarat,Surendra Nagar,363425,25,71
01-03-2025,Tamil Nadu,Tiruppur,642132,10,66
01-03-2025,Madhya Pradesh,Betul,460551,43,350
01-03-2025,Gujarat,Valsad,396235,13,42
01-03-2025,Maharashtra,Yavatmal,445105,17,264
01-03-2025,Karnataka,Belagavi,591136,31,45
01-03-2025,Andhra Pradesh,Prakasam,523246,10,169
01-03-2025,Karnataka,Vijayapura,586201,50,58
01-03-2025,Andhra Pradesh,Ananthapuramu,515722,15,70
01-03-2025,West Bengal,Purba Medinipur,721444,40,243
01-03-2025,Madhya Pradesh,Indore,453112,36,221
01-03-2025,Kerala,Kannur,670622,16,131
01-03-2025,Telangana,Vikarabad,501144,38,98
01-03-2025,Kerala,Thrissur,680123,14,110
01-03-2025,Gujarat,Kachchh,370410,73,242
01-03-2025,Uttarakhand,Dehradun,248124,12,103
01-03-2025,Karnataka,Tumakuru,572224,27,109
01-03-2025,Odisha,Jagatsinghapur,754139,23,145
01-03-2025,Karnataka,Mandya,571436,21,146
01-03-2025,Karnataka,Uttara Kannada,581337,10,54
01-03-2025,Karnataka,Dakshina Kannada,574237,27,66
01-03-2025,West Bengal,Malda,732211,10,153
01-03-2025,Telangana,Nirmal,504105,14,101
01-03-2025,Gujarat,Ahmedabad,380052,37,364
01-03-2025,Himachal Pradesh,Kangra,176022,34,242
01-03-2025,Bihar,Vaishali,844128,23,388
01-03-2025,Bihar,Siwan,841506,107,920
01-03-2025,Delhi,South West Delhi,110037,287,1998
01-03-2025,Maharashtra,Hingoli,431512,82,2113
01-03-2025,Bihar,Darbhanga,847204,20,184
01-03-2025,Bihar,Lakhisarai,811106,148,1267
01-03-2025,Assam,Tinsukia,786170,22,447
01-03-2025,Uttar Pradesh,Etah,207001,322,4051
01-03-2025,Rajasthan,Bikaner,334602,21,363
01-03-2025,Madhya Pradesh,Chhindwara,480106,74,432
01-03-2025,Uttar Pradesh,Varanasi,221007,211,2246
01-03-2025,Madhya Pradesh,Mandla,481995,148,1078
01-03-2025,West Bengal,Paschim Medinipur,721136,16,199
01-03-2025,Maharashtra,Washim,444105,36,412
01-03-2025,Jharkhand,Giridih,825167,67,1617
01-03-2025,Rajasthan,Hanumangarh,335803,135,1626
01-03-2025,Uttar Pradesh,Deoria,274405,110,1216
01-03-2025,Uttar Pradesh,Bareilly,243303,160,2146
01-03-2025,Kerala,Kozhikode,673504,13,136
01-03-2025,Uttar Pradesh,Ghazipur,232333,89,635
01-03-2025,Tamil Nadu,Tiruppur,642126,46,396
01-03-2025,Odisha,Mayurbhanj,757033,62,422
01-03-2025,Madhya Pradesh,Indore,452002,149,1087
01-03-2025,Rajasthan,Jaipur,303905,44,389
01-03-2025,Madhya Pradesh,Seoni,480997,96,1357
01-03-2025,Bihar,Patna,803110,47,323
01-03-2025,Andhra Pradesh,Parvathipuram Manyam,535525,13,72
01-03-2025,Bihar,Patna,803212,176,1229
01-03-2025,Karnataka,Chikkaballapur,562101,141,758
01-03-2025,Tamil Nadu,Tiruvannamalai,631702,16,259
01-03-2025,Bihar,Muzaffarpur,843115,127,1340
01-03-2025,Assam,Kamrup Metro,781026,17,181
01-03-2025,Jammu and Kashmir,Jammu,185154,12,144
01-03-2025,Bihar,Samastipur,848133,79,705
01-03-2025,Karnataka,Kolar,563137,33,273
01-03-2025,Maharashtra,Pune,412406,10,287
01-03-2025,Karnataka,Gadag,582112,267,305
01-03-2025,Bihar,Jehanabad,804429,40,463
01-03-2025,Odisha,Rayagada,765015,86,1353
01-03-2025,Maharashtra,Parbhani,431516,32,613
01-03-2025,Uttar Pradesh,Azamgarh,276123,72,916
01-03-2025,Andhra Pradesh,Prakasam,523155,16,196
01-03-2025,Madhya Pradesh,Rajgarh,465689,74,370
01-03-2025,Gujarat,Botad,382245,99,287
01-03-2025,Manipur,Jiribam,795116,11,222
01-03-2025,Andhra Pradesh,Alluri Sitharama Raju,531024,31,269
01-03-2025,West Bengal,North 24 Parganas,743135,38,569
01-03-2025,Uttarakhand,Pithoragarh,262545,28,338
01-03-2025,Uttar Pradesh,Ghaziabad,245101,30,865
01-03-2025,Maharashtra,Jalgaon,424204,15,258
01-03-2025,Uttar Pradesh,Kanpur Nagar,208003,23,325
01-03-2025,Assam,Barpeta,781315,47,598
01-03-2025,Tamil Nadu,Kancheepuram,600114,11,179
01-03-2025,Gujarat,Bhavnagar,364150,139,404
01-03-2025,Kerala,Kozhikode,673572,38,439
01-03-2025,Rajasthan,Alwar,301412,93,831
01-03-2025,Kerala,Kozhikode,673103,24,103
01-03-2025,Andhra Pradesh,Cuddapah,516359,27,267
01-03-2025,Haryana,Sonipat,131028,40,375
01-03-2025,Uttar Pradesh,Aligarh,202150,24,777
01-03-2025,Uttar Pradesh,Prayagraj,212301,39,563
01-03-2025,Gujarat,Junagadh,362002,19,114
01-03-2025,Uttar Pradesh,Bulandshahr,245407,35,339
01-03-2025,Rajasthan,Jaipur,303302,25,367
01-03-2025,Andhra Pradesh,Sri Sathya Sai,515661,13,86
01-03-2025,Tamil Nadu,Tiruvallur,600068,22,540
01-03-2025,Kerala,Kasaragod,671531,47,332
01-03-2025,Andhra Pradesh,Guntur,522615,38,700
01-03-2025,Tamil Nadu,Coimbatore,642003,12,247
01-03-2025,Rajasthan,Sirohi,307802,40,821
01-03-2025,Karnataka,Bangalore,560030,13,103
01-03-2025,Jammu and Kashmir,Udhampur,182101,43,491
01-03-2025,Tamil Nadu,Villupuram,607204,14,108
01-03-2025,Maharashtra,Amravati,444604,20,165
01-03-2025,Telangana,Nalgonda,508114,59,461
01-03-2025,Andhra Pradesh,West Godavari,534456,11,238
01-03-2025,Jharkhand,Khunti,835209,19,593
01-03-2025,Bihar,Sitamarhi,843328,94,850
01-03-2025,Tamil Nadu,Madurai,625501,23,311
01-03-2025,Karnataka,Koppal,583238,128,459
01-03-2025,Odisha,Ganjam,761018,54,537
01-03-2025,Odisha,Koraput,764028,27,508
01-03-2025,Gujarat,Kachchh,370460,15,89
01-03-2025,Jammu and Kashmir,Udhampur,182141,36,366
01-03-2025,Telangana,Hyderabad,500012,94,421
01-03-2025,Uttar Pradesh,Jaunpur,222128,38,563
01-03-2025,Haryana,Jhajjar,124109,22,205
01-03-2025,Maharashtra,Nagpur,440018,56,480
01-03-2025,Tamil Nadu,Tirunelveli,627857,33,152
01-03-2025,Uttarakhand,Dehradun,248007,117,950
01-03-2025,Karnataka,Chitradurga,577532,29,133
01-03-2025,Uttar Pradesh,Mau,275306,55,328
01-03-2025,West Bengal,Paschim Medinipur,721127,69,623
01-03-2025,West Bengal,Darjeeling,734008,11,86
01-03-2025,Maharashtra,Mumbai City,400078,41,331
01-03-2025,Himachal Pradesh,Mandi,175026,11,33
01-03-2025,Odisha,Dhenkanal,759039,57,271
01-03-2025,Chhattisgarh,Raipur,492015,49,653
01-03-2025,Kerala,Kannur,670602,22,163
01-03-2025,Telangana,Medak,502249,25,191
01-03-2025,Odisha,Sundergarh,770019,13,114
01-03-2025,Haryana,Rohtak,124401,29,163
01-03-2025,Tamil Nadu,Cuddalore,608701,31,411
01-03-2025,Telangana,Khammam,507305,34,302
01-03-2025,Andhra Pradesh,Warangal,506302,11,64
01-03-2025,Punjab,Ferozepur,152024,17,134
01-03-2025,Maharashtra,Solapur,413113,31,556
01-03-2025,Gujarat,Vadodara,390008,28,197
01-03-2025,Andhra Pradesh,Ananthapuramu,515641,20,44
01-03-2025,Maharashtra,Ahmadnagar,414701,10,289
01-03-2025,Andhra Pradesh,West Godavari,534265,16,233
01-03-2025,Karnataka,Shivamogga,577434,13,88
01-03-2025,West Bengal,North 24 Parganas,700120,13,262
01-03-2025,Himachal Pradesh,Kangra,176204,37,205
01-03-2025,Uttar Pradesh,Bhadohi,221409,12,228
01-03-2025,Tamil Nadu,Chengalpattu,600064,18,151
01-03-2025,West Bengal,South 24 Parganas,743398,12,112
01-03-2025,Tamil Nadu,Tirunelveli,627007,67,394
01-03-2025,Odisha,Kendrapara,754141,37,207
01-03-2025,Andhra Pradesh,Warangal,506143,16,145
01-03-2025,Tamil Nadu,Madurai,625004,14,162
01-03-2025,Madhya Pradesh,Betul,460447,24,159
01-03-2025,Andhra Pradesh,Warangal,506164,21,161
01-03-2025,Arunachal Pradesh,Papum Pare,791123,16,149
01-03-2025,Kerala,Palakkad,678683,12,137
01-03-2025,Gujarat,The Dangs,394730,152,276
01-03-2025,Maharashtra,Aurangabad,431006,12,61
01-03-2025,Telangana,Warangal,506317,15,96
01-03-2025,Karnataka,Kalaburagi,585312,59,144
01-03-2025,Telangana,Adilabad,504201,20,88
01-03-2025,Tamil Nadu,Kanniyakumari,629401,11,124
01-03-2025,Andhra Pradesh,Karimnagar,505473,10,58
01-03-2025,Andaman and Nicobar Islands,South Andaman,744102,14,64
01-03-2025,Gujarat,Surat,394410,12,36
01-03-2025,Mizoram,Champhai,796310,49,484
01-03-2025,Uttar Pradesh,Saharanpur,247001,628,7171
01-03-2025,Maharashtra,Mumbai,400068,32,664
01-03-2025,Assam,Marigaon,782126,122,700
01-03-2025,Andhra Pradesh,East Godavari,533449,47,591
01-03-2025,Andhra Pradesh,Warangal,506002,56,525
01-03-2025,Bihar,Begusarai,851111,188,1559
01-03-2025,Jammu and Kashmir,Budgam,191113,268,456
01-03-2025,Uttar Pradesh,Rae Bareli,229212,48,518
01-03-2025,Bihar,Supaul,847452,77,1219
01-03-2025,Uttar Pradesh,Rampur,244901,554,5662
01-03-2025,Bihar,Supaul,852108,33,521
01-03-2025,Uttar Pradesh,Kushinagar,274303,179,1556
01-03-2025,Uttarakhand,Nainital,263139,465,3181
01-03-2025,Rajasthan,Ajmer,305401,40,439
01-03-2025,Rajasthan,Baran,325221,206,7884
01-03-2025,Odisha,Khorda,752035,48,261
01-03-2025,Uttar Pradesh,Kaushambi,212206,106,1281
01-03-2025,Uttar Pradesh,Shrawasti,271875,30,417
01-03-2025,Maharashtra,Pune,410503,20,393
01-03-2025,Punjab,Kapurthala,144622,16,273
01-03-2025,Bihar,Gaya,824211,192,1670
01-03-2025,Chhattisgarh,Bijapur,494448,24,482
01-03-2025,Maharashtra,Nagpur,440014,49,522
01-03-2025,Bihar,Begusarai,848203,14,177
01-03-2025,West Bengal,Hooghly,712417,21,437
01-03-2025,Odisha,Cuttack,754010,11,155
01-03-2025,Gujarat,Sabarkantha,383245,43,269
01-03-2025,Chhattisgarh,Bilaspur,495119,25,1050
01-03-2025,Gujarat,Panchmahals,389365,53,411
01-03-2025,Telangana,K.v. Rangareddy,501505,145,639
01-03-2025,Madhya Pradesh,Bhopal,462043,78,535
01-03-2025,Bihar,Buxar,802118,37,288
01-03-2025,Gujarat,Bhavnagar,364260,38,332
01-03-2025,Telangana,Mahabubnagar,509210,100,544
01-03-2025,West Bengal,North 24 Parganas,743456,78,992
01-03-2025,Haryana,Mewat,122103,38,339
01-03-2025,Bihar,Supaul,852125,74,1197
01-03-2025,Andhra Pradesh,Nellore,524315,31,411
01-03-2025,Haryana,Sirsa,125060,46,362
01-03-2025,West Bengal,Paschim Medinipur,721150,62,1113
01-03-2025,Gujarat,Surendra Nagar,363330,44,423
01-03-2025,Maharashtra,Satara,415519,10,279
01-03-2025,Haryana,Mahendragarh,123023,44,538
01-03-2025,Andhra Pradesh,Sri Potti Sriramulu Nellore,524137,14,156
01-03-2025,Uttar Pradesh,Sultanpur,228141,47,552
01-03-2025,West Bengal,Kolkata,700037,12,373
01-03-2025,Andhra Pradesh,East Godavari,533213,15,246
01-03-2025,Odisha,Nabarangapur,764061,23,677
01-03-2025,Maharashtra,Beed,413249,19,383
01-03-2025,Gujarat,Morbi,363642,88,385
01-03-2025,Karnataka,Haveri,581120,256,215
01-03-2025,Madhya Pradesh,Mandsaur,458895,85,554
01-03-2025,Rajasthan,Ganganagar,335701,69,951
01-03-2025,Bihar,Buxar,802122,28,423
01-03-2025,Uttar Pradesh,Kanpur Nagar,208025,25,338
01-03-2025,Punjab,Mansa,151506,12,446
01-03-2025,Delhi,North West Delhi,110036,140,1003
01-03-2025,Karnataka,Bangalore Rural,562110,111,878
01-03-2025,Maharashtra,Gadchiroli,442710,17,288
01-03-2025,West Bengal,Nadia,741161,26,482
01-03-2025,Uttar Pradesh,Sultanpur,228125,55,692
01-03-2025,Uttar Pradesh,Allahabad,211002,55,376
01-03-2025,Bihar,Bhojpur,802112,38,455
01-03-2025,Madhya Pradesh,Sehore,466116,80,464
